"LastName","FirstName","Gender","Country","Date","Competition","Round","Location","Apparatus","Rank","D_Score","E_Score","Penalty","Score","ID"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",48,5.5,7.9,NA,13.4,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",10,5.3,8.133,NA,13.433,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",48,5,8.166,NA,13.166,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",12,5.8,8.4,NA,14.2,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",26,5.8,8.5,NA,14.3,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",21,5.1,6.166,NA,11.266,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",12,5.3,7.933,NA,13.233,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",90,4.9,7.666,NA,12.566,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",20,4.8,9.033,0.1,13.733,"abad_nestor"
"abad","nestor","m","ESP",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",97,4.8,9,0.3,13.5,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","FX",86,5.4,7.133,0.1,12.433,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","HB",10,5.3,8.5,NA,13.8,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","HB",10,5.3,8.1,NA,13.4,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PB",9,5.8,8.6,NA,14.4,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","PB",10,5.8,8.266,NA,14.066,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PH",105,5,5.5,NA,10.5,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","SR",23,5.3,8.366,NA,13.666,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","SR",6,5.3,8.333,NA,13.633,"abad_nestor"
"abad","nestor","m","ESP",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","VT",36,5.2,9.2,0.3,14.1,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",24,5.4,7.233,NA,12.633,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","FX",94,4.6,8,0.1,12.5,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",9,5.3,8.1,NA,13.4,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","final","Antalya, Turkey","HB",4,5.3,8.366,NA,13.666,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","HB",5,5.3,8.433,NA,13.733,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",10,5.8,8.033,NA,13.833,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PB",23,5.8,8.1,NA,13.9,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",12,4.7,8.3,NA,13,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PH",28,5,8.233,NA,13.233,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","SR",17,5.3,8.466,NA,13.766,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",4,5.3,8.366,NA,13.666,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",22,5.2,7.9,0.1,13,"abad_nestor"
"abad","nestor","m","ESP",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","VT",69,4.8,9,0.1,13.7,"abad_nestor"
"abad","nestor","m","ESP",2023-06-01,"2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel","HB",1,5.3,8.5,NA,13.8,"abad_nestor"
"abad","nestor","m","ESP",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","HB",1,5.3,8.35,NA,13.65,"abad_nestor"
"abad","nestor","m","ESP",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","PH",11,5,7,NA,12,"abad_nestor"
"abad","nestor","m","ESP",2023-06-01,"2023 Tel Aviv Challenge Cup","qual","Tel Aviv, Israel","SR",2,5.7,8.35,NA,14.05,"abad_nestor"
"abad","nestor","m","ESP",2023-06-01,"2023 Tel Aviv Challenge Cup","final","Tel Aviv, Israel","SR",2,5.7,8.3,NA,14,"abad_nestor"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","FX",17,5.1,8.466,NA,13.566,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",34,5.1,8.566,NA,13.666,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","HB",24,5.1,5.1,0.3,9.9,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",27,5.6,8,NA,13.6,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PB",20,5.3,7.766,NA,13.066,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",52,5.3,8.4,NA,13.7,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","PH",7,5.5,8.166,NA,13.666,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",15,5.5,8.466,NA,13.966,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","SR",13,4.7,8.466,NA,13.166,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",60,4.7,8.3,NA,13,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","AAfinal","Liverpool, England","VT",18,4.8,9.066,NA,13.866,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",84,4.8,8.9,0.1,13.6,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","FX",19,5.4,8.433,NA,13.833,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","HB",11,5.6,8.2,NA,13.8,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","HB",6,5.6,8.166,NA,13.766,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PB",91,4.7,7.333,NA,12.033,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PH",61,5,7.533,NA,12.533,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","PH",5,5.5,8.333,NA,13.833,"abbadini_yumin"
"abbadini","yumin","m","ITA",2022-08-18,"2022 Senior European Championships","TeamFinal","Munich, Germany","SR",13,5,8.366,NA,13.366,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","FX",11,5.5,8.266,NA,13.766,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","FX",11,5.5,8.466,NA,13.966,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","HB",4,5.3,8.166,NA,13.466,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","HB",90,5.3,6.833,NA,12.133,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PB",8,5.3,8.7,NA,14,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PB",40,5.3,8.2,NA,13.5,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","PH",1,5.7,8.4,NA,14.1,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","final","Antalya, Turkey","PH",6,5.7,8.466,NA,14.166,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PH",6,5.7,8.566,NA,14.266,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","SR",26,4.7,8.8,NA,13.5,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","SR",10,4.7,8.566,NA,13.266,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","AAfinal","Antalya, Turkey","VT",18,4.8,8.866,0.1,13.566,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","VT",64,4.8,8.933,NA,13.733,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-03-09,"World Cup","qual","Baku, Azerbaijan","FX",11,5.5,8.033,NA,13.533,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-03-09,"World Cup","qual","Baku, Azerbaijan","HB",10,5.3,8.233,NA,13.533,"abbadini_yumin"
"abbadini","yumin","m","ITA",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PH",15,6.4,7.033,NA,13.433,"abbadini_yumin"
"abdelhaleem","abdelrahman","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",113,5.2,7.2,0.4,12,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",68,4.6,8.166,NA,12.766,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",122,4.3,8.1,NA,12.4,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",55,5.2,7.566,NA,12.766,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",NA,NA,NA,NA,NA,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","PH",9,5.6,8.5,NA,14.1,"abdelhaleem_abdelrahman"
"abdelhaleem","abdelrahman","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PH",21,5.8,7.266,NA,13.066,"abdelhaleem_abdelrahman"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",116,5.4,7.433,0.9,11.933,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",61,4.4,8.566,NA,12.966,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",92,5.2,7.8,NA,13,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PH",37,4.9,8.266,NA,13.166,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","SR",NA,NA,NA,NA,NA,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",50,5.2,8.766,NA,13.966,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","FX",33,5.1,7.266,0.3,12.066,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","FX",38,5.2,6.333,NA,0.4,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PB",12,5.2,8.266,NA,13.466,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PH",36,4.7,7.366,NA,12.066,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","VT",17,5.6,7.833,NA,13.433,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","VT",17,5.2,7.9,NA,13.1,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","VT",NA,5.2,8.166,NA,13.366,"abdelrahman_ahmed"
"abdelrahman","ahmed","m","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","VT",NA,NA,NA,NA,NA,"abdelrahman_ahmed"
"abdelsalam","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",100,4.8,6.2,NA,11,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",109,4.4,7.466,0.1,11.766,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",52,4.8,8,NA,12.8,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","VT",110,4.2,8.433,0.3,12.333,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","BB",22,4.8,6.733,NA,11.533,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-04-27,"World Cup","final","Cairo, Egypt","BB",8,4.8,6.566,NA,11.366,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","BB",9,4.7,7.466,NA,12.166,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-03-01,"World Cup","final","Doha, Qatar","BB",4,5,8,NA,13,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-03-01,"World Cup","qual","Doha, Qatar","BB",6,5,7.933,NA,12.933,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-03-09,"World Cup","qual","Baku, Azerbaijan","FX",22,4.5,7.366,NA,11.866,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-04-27,"World Cup","qual","Cairo, Egypt","UB",29,4.5,6.266,NA,10.766,"abdelsalam_jana"
"abdelsalam","jana","w","EGY",2023-03-01,"World Cup","qual","Doha, Qatar","UB",21,3.8,5.533,NA,9.333,"abdelsalam_jana"
"abdul","hadi","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","BB",76,4.8,6.766,NA,11.566,"abdul_hadi"
"abdul","hadi","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","FX",64,4.6,7.633,NA,12.233,"abdul_hadi"
"abdul","hadi","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","UB",74,5.1,6.5,NA,11.6,"abdul_hadi"
"abdul","hadi","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","VT",72,4.6,8.566,NA,13.166,"abdul_hadi"
"abdul hadi","farah ann","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","BB",76,4.8,6.766,NA,11.566,"abdul_hadi_farah_ann"
"abdul hadi","farah ann","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","FX",64,4.6,7.633,NA,12.233,"abdul_hadi_farah_ann"
"abdul hadi","farah ann","w","MAS",2021-07-25,"Olympic Games","qual","Tokyo, Japan","UB",74,5.1,6.5,NA,11.6,"abdul_hadi_farah_ann"
"abdullah","ally hamuda","m","MAS",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","SR",46,4.8,5.133,NA,9.933,"abdullah_ally_hamuda"
"abdullahi","ayesha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","BB",41,3.7,6.5,0,10.2,"abdullahi_ayesha"
"abdullahi","ayesha","w","GBR",2022-03-24,"2022 British Gymnastics Championships","qual","Liverpool, England","UB",45,3.5,6.7,0,10.2,"abdullahi_ayesha"
"abdurakhimov","rasuljon","m","UZB",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","HB",39,4.6,8.666,NA,13.266,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","PB",28,6,8.233,NA,14.233,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-05-25,"2023 Varna World Challenge Cup Results","final","Varna, Bulgaria","HB",8,4.3,8,0,12.3,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-05-25,"2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria","HB",5,4.6,8.75,0,13.35,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-05-25,"2023 Varna World Challenge Cup Results","final","Varna, Bulgaria","PB",1,5.5,8.733,0,14.23,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-05-25,"2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria","PB",1,5.5,9,0,14.5,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-05-25,"2023 Varna World Challenge Cup Results","qual","Varna, Bulgaria","SR",16,4.1,8.4,0,12.5,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-03-09,"World Cup","qual","Baku, Azerbaijan","HB",27,4.5,8.033,NA,12.533,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-03-09,"World Cup","final","Baku, Azerbaijan","PB",7,5.9,8.366,NA,14.266,"abdurakhimov_rasuljon"
"abdurakhimov","rasuljon","m","UZB",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PB",8,5.9,8.366,NA,14.266,"abdurakhimov_rasuljon"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","FX",104,5.3,6.3,NA,11.6,"abesadze_saba"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","HB",101,3.8,7.266,NA,11.066,"abesadze_saba"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PB",56,6,7.166,NA,13.166,"abesadze_saba"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","PH",89,3.8,7.7,NA,11.5,"abesadze_saba"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","SR",55,4.7,8.333,NA,13.033,"abesadze_saba"
"abesadze","saba","m","GEO",2022-08-18,"2022 Senior European Championships","qual","Munich, Germany","VT",96,5.2,7.966,0.3,12.866,"abesadze_saba"
"abesadze","saba","m","GEO",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PB",99,4.5,7.566,NA,12.066,"abesadze_saba"
"abesadze","saba","m","GEO",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","PH",NA,NA,0,NA,NA,"abesadze_saba"
"abesadze","saba","m","GEO",2023-04-11,"2023 Senior European Championships","qual","Antalya, Turkey","SR",NA,NA,0,NA,NA,"abesadze_saba"
"abesadze","saba","m","GEO",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","FX",28,5.3,7.733,NA,13.033,"abesadze_saba"
"abesadze","saba","m","GEO",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","PB",23,5,7.7,NA,12.7,"abesadze_saba"
"abesadze","saba","m","GEO",2023-02-23,"FIG Apparatus World Cup 2023","qual","Cottbus, Germany","PH",33,4.7,8.3,NA,13,"abesadze_saba"
"abesadze","saba","m","GEO",2023-03-09,"World Cup","qual","Baku, Azerbaijan","FX",27,4.9,7.866,NA,12.766,"abesadze_saba"
"abesadze","saba","m","GEO",2023-03-01,"World Cup","qual","Doha, Qatar","FX",33,5.2,6.533,NA,11.733,"abesadze_saba"
"abesadze","saba","m","GEO",2023-03-09,"World Cup","qual","Baku, Azerbaijan","PB",21,5.2,7.7,NA,12.9,"abesadze_saba"
"abesadze","saba","m","GEO",2023-03-01,"World Cup","qual","Doha, Qatar","PB",18,5.7,7.166,NA,12.866,"abesadze_saba"
"abesadze","saba","m","GEO",2023-03-01,"World Cup","qual","Doha, Qatar","PH",35,4.5,7.766,NA,12.266,"abesadze_saba"
"abeyratne","kumudi imanya","w","SRI",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","BB",36,3.9,5.2,NA,9.1,"abeyratne_kumudi_imanya"
"abeyratne","kumudi imanya","w","SRI",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","FX",39,2.9,4.45,NA,7.35,"abeyratne_kumudi_imanya"
"abeyratne","kumudi imanya","w","SRI",2022-07-29,"BIRMINGHAM 2022 Commonwealth Games","qual","Birmingham, England","UB",39,1.2,4.3,NA,5.5,"abeyratne_kumudi_imanya"
"abiyurafi","","m","INA",2023-03-01,"World Cup","qual","Doha, Qatar","HB",26,4.9,6.733,NA,11.633,"abiyurafi_"
"abiyurafi","","m","INA",2023-03-01,"World Cup","qual","Doha, Qatar","PB",29,4.8,6.2,0.3,10.7,"abiyurafi_"
"abiyurafi","","m","INA",2023-03-01,"World Cup","qual","Doha, Qatar","PH",39,4.5,7,NA,11.5,"abiyurafi_"
"aboelhasan","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","BB",116,4.6,5.9,NA,10.5,"aboelhasan_jana"
"aboelhasan","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","FX",74,4.4,7.866,NA,12.266,"aboelhasan_jana"
"aboelhasan","jana","w","EGY",2022-10-29,"2022 51st FIG Artistic Gymnastics World Championships","qual","Liverpool, England","UB",113,4.4,6.5,NA,10.9,"aboelhasan_jana"
